"Year" "Month" "NINO3.4" "ANOM3.4" "TS.freq" "TY.freq" "SuperTY.freq"
1982 1 26.72 0.15 0 0 0
1982 2 26.7 -0.02 0 0 0
1982 3 27.2 -0.02 3 2 0
1982 4 28.02 0.24 0 0 0
1982 5 28.54 0.69 1 1 0
1982 6 28.75 1.1 3 1 0
1982 7 28.1 0.88 4 2 2
1982 8 27.93 1.11 5 5 2
1982 9 28.11 1.39 5 3 1
1982 10 28.64 1.95 3 3 2
1982 11 28.81 2.16 1 1 0
1982 12 29.21 2.64 1 0 0
1983 1 29.36 2.79 0 0 0
1983 2 29.13 2.41 0 0 0
1983 3 29.03 1.81 0 0 0
1983 4 28.91 1.13 0 0 0
1983 5 28.89 1.04 0 0 0
1983 6 28.24 0.59 1 0 0
1983 7 27.07 -0.15 3 2 1
1983 8 26.53 -0.29 5 2 2
1983 9 26.44 -0.28 2 1 1
1983 10 25.87 -0.82 6 2 1
1983 11 25.58 -1.07 4 2 1
1983 12 25.59 -0.98 2 0 0
1984 1 25.64 -0.93 0 0 0
1984 2 26.39 -0.33 0 0 0
1984 3 26.86 -0.36 0 0 0
1984 4 27.39 -0.39 0 0 0
1984 5 27.39 -0.46 0 0 0
1984 6 26.86 -0.79 3 1 0
1984 7 26.74 -0.48 4 3 2
1984 8 26.34 -0.48 5 2 0
1984 9 26.43 -0.29 3 1 0
1984 10 25.93 -0.76 8 4 2
1984 11 25.41 -1.24 2 2 1
1984 12 25 -1.57 1 1 0
1985 1 25.43 -1.14 2 0 0
1985 2 25.67 -1.05 0 0 0
1985 3 26.23 -0.99 0 0 0
1985 4 26.8 -0.98 1 0 0
1985 5 27.11 -0.74 1 1 0
1985 6 26.86 -0.79 3 2 0
1985 7 26.69 -0.53 2 2 0
1985 8 26.5 -0.32 9 6 0
1985 9 26.25 -0.47 4 2 0
1985 10 26.19 -0.5 4 3 1
1985 11 26.19 -0.46 1 0 0
1985 12 26.11 -0.46 2 1 0
1986 1 25.79 -0.78 1 1 0
1986 2 25.94 -0.78 0 0 0
1986 3 26.65 -0.57 0 0 0
1986 4 27.44 -0.34 1 0 0
1986 5 27.5 -0.35 2 1 1
1986 6 27.69 0.04 3 2 1
1986 7 27.37 0.15 3 1 0
1986 8 27.15 0.33 6 3 1
1986 9 27.33 0.61 2 2 1
1986 10 27.57 0.88 5 3 0
1986 11 27.73 1.08 4 2 1
1986 12 27.7 1.13 3 2 0
1987 1 27.91 1.34 1 1 0
1987 2 28.02 1.3 0 0 0
1987 3 28.47 1.25 0 0 0
1987 4 28.8 1.02 1 0 0
1987 5 28.75 0.9 0 0 0
1987 6 29.03 1.38 2 2 0
1987 7 28.8 1.58 4 3 2
1987 8 28.58 1.76 4 3 2
1987 9 28.39 1.67 6 5 2
1987 10 28.07 1.38 2 2 1
1987 11 27.99 1.34 3 1 0
1987 12 27.6 1.03 1 1 0
1988 1 27.32 0.75 1 1 0
1988 2 27.22 0.5 0 0 0
1988 3 27.31 0.09 0 0 0
1988 4 27.32 -0.46 0 0 0
1988 5 26.48 -1.37 1 1 0
1988 6 26.11 -1.54 2 1 0
1988 7 25.57 -1.65 2 1 1
1988 8 25.24 -1.58 5 3 0
1988 9 25.43 -1.29 8 3 0
1988 10 24.62 -2.07 5 4 1
1988 11 24.27 -2.38 2 2 0
1988 12 24.33 -2.24 1 0 0
1989 1 24.53 -2.04 1 0 0
1989 2 25.33 -1.39 0 0 0
1989 3 25.9 -1.32 0 0 0
1989 4 26.69 -1.09 1 1 1
1989 5 27.09 -0.76 2 1 0
1989 6 26.98 -0.67 2 1 0
1989 7 26.74 -0.48 8 4 1
1989 8 26.33 -0.49 5 2 0
1989 9 26.25 -0.47 6 4 1
1989 10 26.26 -0.43 4 4 1
1989 11 26.24 -0.41 2 2 1
1989 12 26.38 -0.19 1 1 1
1990 1 26.55 -0.02 1 1 0
1990 2 26.95 0.23 0 0 0
1990 3 27.46 0.24 0 0 0
1990 4 28.02 0.24 1 0 0
1990 5 28.06 0.21 1 1 0
1990 6 27.58 -0.07 3 2 0
1990 7 27.25 0.03 4 3 0
1990 8 27.05 0.23 6 4 0
1990 9 26.75 0.03 6 5 1
1990 10 26.98 0.29 3 1 0
1990 11 26.72 0.07 4 3 3
1990 12 26.91 0.34 1 1 1
1991 1 27.01 0.44 0 0 0
1991 2 26.93 0.21 0 0 0
1991 3 27.25 0.03 2 1 0
1991 4 27.98 0.2 1 0 0
1991 5 28.35 0.5 1 1 1
1991 6 28.36 0.71 1 1 0
1991 7 27.92 0.7 4 4 1
1991 8 27.44 0.62 5 2 0
1991 9 27.07 0.35 6 4 1
1991 10 27.63 0.94 5 4 1
1991 11 27.86 1.21 4 1 1
1991 12 28.37 1.8 0 0 0
1992 1 28.41 1.84 1 0 0
1992 2 28.63 1.91 1 0 0
1992 3 28.83 1.61 0 0 0
1992 4 29.14 1.36 0 0 0
1992 5 28.99 1.14 0 0 0
1992 6 28.02 0.37 2 2 0
1992 7 27.53 0.31 5 2 0
1992 8 26.64 -0.18 7 4 2
1992 9 26.48 -0.24 5 4 0
1992 10 26.34 -0.35 7 6 2
1992 11 26.51 -0.14 3 2 1
1992 12 26.73 0.16 0 0 0
1993 1 26.69 0.12 0 0 0
1993 2 26.97 0.25 0 0 0
1993 3 27.66 0.44 1 0 0
1993 4 28.59 0.81 0 0 0
1993 5 28.82 0.97 0 0 0
1993 6 28.28 0.63 1 1 1
1993 7 27.55 0.33 4 0 0
1993 8 26.84 0.02 7 5 1
1993 9 26.92 0.2 6 5 1
1993 10 26.93 0.24 4 2 0
1993 11 26.91 0.26 2 1 0
1993 12 26.76 0.19 3 3 0
1994 1 26.6 0.03 0 0 0
1994 2 26.59 -0.13 0 0 0
1994 3 27.27 0.05 1 0 0
1994 4 27.9 0.12 0 0 0
1994 5 28.04 0.19 1 1 0
1994 6 27.99 0.34 2 0 0
1994 7 27.35 0.13 8 2 2
1994 8 27.35 0.53 9 7 1
1994 9 27 0.28 8 4 2
1994 10 27.49 0.8 6 5 2
1994 11 27.87 1.22 0 0 0
1994 12 27.87 1.3 2 1 0
1995 1 27.55 0.98 0 0 0
1995 2 27.45 0.73 0 0 0
1995 3 27.63 0.41 0 0 0
1995 4 27.93 0.15 1 0 0
1995 5 27.73 -0.12 0 0 0
1995 6 27.59 -0.06 1 0 0
1995 7 27.01 -0.21 2 1 0
1995 8 26.33 -0.49 6 2 0
1995 9 25.96 -0.76 5 4 1
1995 10 25.67 -1.02 6 3 1
1995 11 25.66 -0.99 1 0 0
1995 12 25.57 -1 1 0 0
1996 1 25.74 -0.83 0 0 0
1996 2 25.85 -0.87 0 0 0
1996 3 26.62 -0.6 0 0 0
1996 4 27.36 -0.42 1 0 0
1996 5 27.37 -0.48 2 1 0
1996 6 27.32 -0.33 0 0 0
1996 7 27.09 -0.13 6 4 1
1996 8 26.56 -0.26 5 3 0
1996 9 26.35 -0.37 6 6 0
1996 10 26.24 -0.45 2 2 0
1996 11 26.19 -0.46 2 1 1
1996 12 26.02 -0.55 1 0 0
1997 1 25.96 -0.61 0 0 0
1997 2 26.36 -0.36 0 0 0
1997 3 27.03 -0.19 0 0 0
1997 4 28.03 0.25 1 1 0
1997 5 28.6 0.75 2 1 0
1997 6 28.94 1.29 3 3 0
1997 7 28.92 1.7 4 2 1
1997 8 28.84 2.02 6 3 1
1997 9 28.93 2.21 4 3 2
1997 10 29.23 2.54 3 3 3
1997 11 29.32 2.67 2 0 0
1997 12 29.26 2.69 1 1 1
1998 1 29.1 2.53 0 0 0
1998 2 28.86 2.14 0 0 0
1998 3 28.67 1.45 0 0 0
1998 4 28.56 0.78 0 0 0
1998 5 28.47 0.62 0 0 0
1998 6 26.72 -0.93 0 0 0
1998 7 25.94 -1.28 1 0 0
1998 8 25.49 -1.33 3 1 0
1998 9 25.61 -1.11 4 3 0
1998 10 25.34 -1.35 2 2 1
1998 11 25.18 -1.47 3 0 0
1998 12 24.79 -1.78 1 0 0
1999 1 24.9 -1.67 0 0 0
1999 2 25.41 -1.31 0 0 0
1999 3 26.25 -0.97 0 0 0
1999 4 26.84 -0.94 2 1 0
1999 5 26.97 -0.88 0 0 0
1999 6 26.6 -1.05 1 1 0
1999 7 26.35 -0.87 3 1 0
1999 8 25.59 -1.23 5 1 0
1999 9 25.71 -1.01 6 1 0
1999 10 25.64 -1.05 2 1 0
1999 11 25.12 -1.53 1 0 0
1999 12 24.9 -1.67 1 0 0
2000 1 24.65 -1.92 0 0 0
2000 2 25.19 -1.53 0 0 0
2000 3 26.08 -1.14 0 0 0
2000 4 27.01 -0.77 0 0 0
2000 5 27.12 -0.73 2 1 0
2000 6 27.03 -0.62 0 0 0
2000 7 26.72 -0.5 5 2 0
2000 8 26.45 -0.37 6 4 1
2000 9 26.21 -0.51 5 4 2
2000 10 25.96 -0.73 4 3 0
2000 11 25.78 -0.87 1 0 0
2000 12 25.59 -0.98 1 0 0
2001 1 25.74 -0.83 1 1 0
2001 2 26.11 -0.61 0 0 0
2001 3 26.84 -0.38 0 0 0
2001 4 27.52 -0.26 0 0 0
2001 5 27.6 -0.25 1 0 0
2001 6 27.68 0.03 2 2 0
2001 7 27.32 0.1 5 4 0
2001 8 26.87 0.05 6 3 0
2001 9 26.55 -0.17 5 5 0
2001 10 26.59 -0.1 3 3 1
2001 11 26.45 -0.2 1 1 0
2001 12 26.17 -0.4 2 2 1
2002 1 26.5 -0.07 1 0 0
2002 2 26.95 0.23 1 1 0
2002 3 27.32 0.1 0 0 0
2002 4 27.94 0.16 0 0 0
2002 5 28.15 0.3 1 1 0
2002 6 28.43 0.78 3 3 0
2002 7 27.98 0.76 5 3 1
2002 8 27.79 0.97 6 4 0
2002 9 27.83 1.11 4 1 0
2002 10 28.05 1.36 2 1 0
2002 11 28.27 1.62 2 2 0
2002 12 28.09 1.52 1 1 0
2003 1 27.76 1.19 1 0 0
2003 2 27.49 0.77 0 0 0
2003 3 27.81 0.59 0 0 0
2003 4 27.81 0.03 1 1 1
2003 5 27.37 -0.48 3 1 0
2003 6 27.48 -0.17 1 1 0
2003 7 27.43 0.21 3 1 0
2003 8 26.85 0.03 4 3 0
2003 9 26.96 0.24 3 3 1
2003 10 27.19 0.5 3 2 0
2003 11 27.05 0.4 2 2 1
2003 12 26.89 0.32 0 0 0
2004 1 26.74 0.17 0 0 0
2004 2 26.86 0.14 0 0 0
2004 3 27.1 -0.12 0 0 0
2004 4 27.84 0.06 1 1 0
2004 5 28.06 0.21 2 1 0
2004 6 27.76 0.11 5 4 1
2004 7 27.69 0.47 3 1 0
2004 8 27.54 0.72 8 6 1
2004 9 27.47 0.75 3 1 0
2004 10 27.38 0.69 3 3 0
2004 11 27.31 0.66 3 2 0
2004 12 27.31 0.74 2 0 0
2005 1 27.1 0.53 1 0 0
2005 2 26.96 0.24 0 0 0
2005 3 27.55 0.33 1 0 0
2005 4 28.07 0.29 1 1 0
2005 5 28.2 0.35 1 1 0
2005 6 28.05 0.4 0 0 0
2005 7 27.47 0.25 5 2 1
2005 8 26.88 0.06 5 3 2
