year,Serial Number,Chinese ID,Name,Total Times of Landfall,Order of landfall, Landfall Province,Landfall Intensity Category
1949,4,,Elaine,1,1,Hong Kong,TS
,6,,Gloria,3,1,Zhejiang,TY
,,,,,2,Shanghai–Zhejiang,TY
,,,,,3,Shandong,STS
,8,,Irma,1,1,Taiwan,STS
,11,,,2,1,Hainan,TD
,,,,,2,Guangdong,
,13,,,1,1,Fujian,
,19,,,1,1,Guangdong,STS
,20,,Nelly,2,1,Taiwan,TY
,,,,,2,Guangdong,TD
,24,,,2,1,Taiwan,TD
,,,,,2,Fujian,
,25,,Omilia,1,1,Guangdong,TS
1950,3,,,1,1,Taiwan,TS
,5,,,1,1,Guangdong,TD
,7,,Grace,1,1,Liaoning,TD
,9,,,1,1,Taiwan,TD
,10,,,1,1,Jiangsu,TD
,12,,,1,1,Guangdong,TD
,30,,Ossia,1,1,Guangdong,TS
,31,,,1,1,Hainan,TD
,32,,,1,1,Hainan,TD
,40,,Delilah,1,1,Hainan,TS
1951,5,,,1,1,Guangdong,TD
,6,,,1,1,Hainan,TD
,12,,Louise,1,1,Guangdong,TY
,15,,,2,1,Guangdong,
,,,,,2,Guangxi,
,18,,Nora,1,1,Hainan,TY
,21,,Ora,1,1,Guangdong,
,22,,Pat,2,1,Zhejiang,TS
,,,,,2,Shanghai–Zhejiang,TD
1952,1,,Charlotte,1,1,Guangdong,STS
,3,,,1,1,Guangdong,TD
,4,,Emma,1,1,Guangdong,STS
,7,,Gilda,1,1,Zhejiang,TD
,8,,Harriet,1,1,Guangdong,TS
,12,,,1,1,Guangdong,TD
,14,,,1,1,Guangdong,TD
,15,,Lois,1,1,Hainan,TY
,16,,Mary,1,1,Fujian,TS
,16,,Mary(-)1,1,1,Fujian,TD
,17,,Nora,1,1,Hainan,TY
,18,,,2,1,Taiwan,STS
,,,,,2,Guangdong,STS
,19,,,2,1,Taiwan,TD
,,,,,2,Fujian,
,21,,,1,1,Hainan,TS
,29,,Bess,1,1,Taiwan,TY
,31,,Della,1,1,Taiwan,TD
1953,5,,Kit,2,1,Taiwan,TY
,,,,,2,Fujian,TY
,6,,,1,1,Guangdong,TD
,10,,Nina,1,1,Zhejiang,TY
,12,,,1,1,Hainan,TD
,13,,Ophelia,1,1,Hainan,TY
,14,,Phyllis,2,1,Taiwan,TY
,,,,,2,Fujian,TS
,15,,Rita,1,1,Guangdong,TY
,17,,Susan,1,1,Guangdong,STS
,20,,,1,1,Hainan,TD
,22,,,1,1,Hainan,
,26,,Betty,1,1,Hainan,TY
1954,2,,Elsie,2,1,Hainan,TY
,,,,,2,Guangxi,TS
,7,,Elsie,1,1,Guangdong,TD
,11,,,1,1,Jiangsu,TS
,13,,Ida,1,1,Guangdong,TY
,16,,,2,1,Guangdong,TS
,,,,,2,Guangxi,TD
,27,,Pamela,2,1,Guangdong,TS
,,,,,2,Guangdong,
,29,,Ruby,1,1,Guangdong,TD
1955,5,,Billie,1,1,Guangdong,STS
,6,,,1,1,Hainan,STS
,7,,Clara,1,1,Shandong,TD
,8,,,1,1,Guangdong,
,18,,,1,1,Zhejiang,TD
,19,,Iris,2,1,Taiwan,TY
,,,,,2,Fujian,TD
,19,,Iris(-)1,1,1,Fujian,
,24,,,1,1,Taiwan,
,25,,,1,1,Guangdong,
,26,,Kate,1,1,Hainan,TY
1956,7,,,1,1,Guangdong,TD
,9,,Vera,1,1,Hainan,STS
,11,,,1,1,Fujian,TS
,12,,Wanda,1,1,Zhejiang,TY
,15,,,1,1,Hainan,
,19,,,2,1,Hainan,TD
,,,,,2,Guangxi,
,20,,,1,1,Hainan,
,22,,Dinah,2,1,Taiwan,TY
,,,,,2,Fujian,TY
,25,,,1,1,Hainan,
,26,,Freda,2,1,Taiwan,TY
,,,,,2,Fujian,STS
,27,,Gilda,2,1,Taiwan,TY
,,,,,2,Fujian,TS
,30,,,1,1,Hainan,TD
1957,5,,Virginia,1,1,Taiwan,TY
,7,,,1,1,Hainan,TD
,8,,Wendy,1,1,Guangdong,STS
,11,,,1,1,Guangdong,TS
,17,,Carmen,1,1,Fujian,TY
,19,,Gloria,1,1,Guangdong,TY
,23,,,1,1,Guangdong,TD
1958,4,,,1,1,Hainan,TS
,10,,Winnie,2,1,Taiwan,TY
,,,,,2,Fujian,STS
,13,,,1,1,Fujian,TS
,15,,,1,1,Guangdong,STS
,19,,,1,1,Hainan,TD
,20,,,2,1,Taiwan,STS
,,,,,2,Fujian,TS
,21,,,1,1,Guangdong,TD
,22,,Grace,1,1,Fujian,TY
,23,,,2,1,Hainan,STS
,,,,,2,Guangxi,TD
,28,,,1,1,Guangdong,
1959,5,,Wilda,1,1,Guangdong,TD
,6,5901,Billie,2,1,Zhejiang–Fujian,TY
,,,,,2,Shanghai,STS
,7,,,1,1,Hainan,
,10,,Hope,1,1,Hainan,
,12,5903,Iris,1,1,Fujian,TY
,14,5904,Joan,2,1,Taiwan,TY
,,,,,2,Fujian,TY
,15,5905,Louise,2,1,Taiwan,TY
,,,,,2,Fujian,STS
,16,,Marge,1,1,Guangdong,
,17,5906,Nora(-)1,1,1,Guangdong,STS
1960,6,6001,Mary,1,1,Hong Kong,TY
,7,6003,Olive,1,1,Guangdong,STS
,9,6005,Polly,2,1,Shandong,STS
,,,,,2,Liaoning,TD
,11,6007,Shirley,3,1,Taiwan,TY
,,,,,2,Fujian,TY
,,,,,3,Shandong,TS
,12,6006,,1,1,Guangdong,TD
,13,6008,Trix,2,1,Taiwan,TY
,,,,,2,Fujian,STS
,13,6008,Trix(-)1,2,1,Taiwan,TS
,,,,,2,Fujian,
,18,6012,Agnes,2,1,Taiwan,STS
,,,,,2,Guangdong,
,24,6016,Elaine,2,1,Taiwan,STS
,,,,,2,Guangdong,
,31,6022,,1,1,Hainan,TD
,34,6024,Kit,1,1,Hainan,TY
1961,4,6103,Alice,1,1,Hong Kong,TY
,5,6104,Betty,2,1,Taiwan,TY
,,,,,2,Zhejiang,TD
,7,6106,,1,1,Taiwan,
,8,6107,,1,1,Hainan,TD
,12,6109,Doris,1,1,Guangdong,TS
,14,6110,Elsie,2,1,Taiwan,TY
,,,,,2,Guangdong,TS
,15,6111,Flossie,1,1,Hong Kong,TD
,19,6115,June,2,1,Taiwan,TY
,,,,,2,Fujian,TD
,20,6116,(-),2,1,Zhejiang,TD
,,,,,2,Jiangsu,TD
,24,6120,Lorna,2,1,Taiwan,TY
,,,,,2,Fujian,STS
,27,,,1,1,Guangdong,TS
,28,6121,Olga,1,1,Guangdong,TY
,29,6122,Pamela,2,1,Taiwan,TY
,,,,,2,Fujian,TY
,32,6125,Sally,2,1,Taiwan,TY
,,,,,2,Guangdong,STS
,33,6126,Tilda,1,1,Zhejiang,TY
1962,4,,,2,1,Hainan,TD
,,,,,2,Guangxi,
,8,6205,Kate,2,1,Taiwan,TY
,,,,,2,Fujian,STS
,13,6208,Opal,3,1,Taiwan,TY
,,,,,2,Fujian,TY
,,,,,3,Shandong,TS
,14,6209,Patsy,2,1,Hainan,TY
,,,,,2,Guangxi,STS
,19,6213,Wanda,2,1,Hong Kong,TY
,,,,,2,Hainan,
,20,6214,Amy,2,1,Taiwan,TY
,,,,,2,Fujian,STS
,23,6216,Carla,1,1,Hainan,TY
,27,6217,Dinah,1,1,Guangdong,TY
1963,6,6304,Trix,1,1,Guangdong,TY
,8,6306,Wendy,2,1,Taiwan,TY
,,,,,2,Fujian,STS
,10,6307,Agness,1,1,Guangdong,STS
